overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
1.0,True,"12 12, 2017",A20AKRG3V2B372,B00RN08584,"{'Color:': ' Black', 'Style:': ' Printer'}",MOMTO3BOYS,miserable set up. made me want to put my fist in the wall. wish i could return this.,stay away,1513036800,,
1.0,False,"08 27, 2009",A7FWSCI4QP3J4,B001VEJ23A,,J. Hurley,"The only thing you are paying for is the Dell name. This printer is overpriced. I do like the convenience of it being wireless but that is it. I get error messages all the time, so I have to unplug it, restart my computer. So a two minute print job turns into two hours. USES INK!!!!! I replaced my cartridge yesterday and printed about 15 pages for my son and had to replace it today. DONT BUY. I am thinking of getting the Kodak ESP 7 with the ink saving offer. Right now I am stuck with this one till I can afford another",Buyer Beware: This will clean out your bank account!!!,1251331200,8,
1.0,True,"03 27, 2015",A1LWZUTY6B5DWS,B0006VQBTW,,Hazel Smith,Most of these markers dried out within the first two weeks.  Not a good deal.,Dried out very quickly,1427414400,,
1.0,True,"07 6, 2017",A3E1IXJ949VL29,B007ADJQBE,"{'Size:': ' 46 x 60 Inches', 'Style:': ' Rectangle'}",JCR,Only measures 58x46 instead of 60x46.  I see a few other reviewers have noted the same.  They shouldn't advertise something that isn't true.,Smaller than advertised.,1499299200,2,
1.0,False,"06 9, 2011",A3H7NPNDMGLOU4,B006K0OCUI,"{'Size:': ' 2-Count', 'Color:': ' Black'}",OK,"I'll agree the ink itself is exceptionally smooth, but there seems to be a problem with the ball bearing tip.

Perhaps it's due to the extreme angle at which I tend to hold my pen and the rhythm of my stroke, but these pens simply made a mess when I tried to write with them.  The ink is ""slippery"" and actually globbed in puddles as I wrote; the output was equally bad, whether writing in cursive or printing in block letters.

Judging from the many other positive reviews here, I suspect it could be the shallowness of my writing angle.  Perhaps, if you hold your pen upright, this would not be an issue.  But for my writing style, these are a no-go--the finished notes are sloppy and unusable.  No point in writing what you can't read later!",I Wanted to Like This Pen,1307577600,,
1.0,True,"12 22, 2016",A1O3AM1W8HSG7V,B01FP61MMI,,Cliff,"Super thin, bubbles pop really easily. Our breakage rate in shipping went way up using this bubble wrap. Went back to using Blue Hawk bubble wrap from Lowes, much tougher and tears far easier.",It's cheap for a reason,1482364800,,
1.0,True,"01 19, 2017",A1RASHGU82F37N,B000IOHYUW,,Crayw,Another HP product.,One Star,1484784000,,
1.0,False,"08 29, 2014",A115OBF0ZGU6CI,B00IQBT3RG,{'Style:': ' C1860FW'},Yutang Liu,"I brought this piece one month ago. Since the first day, it kept jam paper. It couldn't even compete one job without jam paper. And the color is deeper than the original color. I returned it.",I brought this piece one month ago. Since the ...,1409270400,3,
1.0,True,"05 1, 2016",A23R2Q4LUX86I8,B00K301M36,{'Color:': ' Blue Stripe'},Blue,It's so small!!,So small!!,1462060800,,
1.0,True,"02 20, 2018",ASV1YNNLA7VIQ,B00LL3M1DE,{'Color:': ' Calico Cat'},Lynne,Cute - very very small.  Disappointing,Tiny,1519084800,,
1.0,True,"06 3, 2016",A395A2PGBLS38I,B000VTPVD6,{'Package Quantity:': ' 1'},Anna D. Brown,Very thin paper,Thumbs diwn,1464912000,2,
1.0,True,"03 7, 2014",A1RMOLQOAKQQ5,B003MVESRU,{'Color:': ' Deep Pink'},JanisTX,"This ink is very thin and gives only a faint, washed-out color.  I was hoping for a deep pink color, like is shown in the bottle picture.  When it was applied to white paper, the ink is very faded and gives an inconsistent color, fading from light pink to barely pink.  I was very dissatisfied with this ink!","Faint, washed-out inconsistent color",1394150400,5,
1.0,True,"09 5, 2014",A2C4NI5JE27ORC,B00006IEI7,"{'Color:': ' Black', 'Package Type:': ' Standard Packaging'}",Lena Moore,"Just received this pencil sharpener.  Right out of the box, it isn't seated properly and will not work unless I hold it together to sharpen a pencil.  Not happy will be returning it.  Sharpens ver good but won't stay closed.",Not happy will be returning it,1409875200,,
1.0,True,"09 5, 2007",A3082RV5UJAPFH,B00026C9HE,,VillaGeeks,"We bought these for my mom thinking they would be an easy way for her to hear/see that the phone was ringing and easy buttons for dialing. They have been a nightmare.  The phones have so much static on the line sometimes, it's impossible for her to hear and to be heard.  She has tried and tried to change the channel for better reception with no luck.  A little over a year after buying them, we'll be dumping these and buying her the phones we have in our home.",Too much static,1188950400,11,
1.0,True,"03 18, 2018",A2CP8KEZMN5KNY,B010UU5XSS,{'Style:': ' Printer'},SoccerJo,"Features wise it's a good printer, but it has what I consider a fatal flaw.

It gives zero warning that the cartridges are getting low it instead just decides at some point that they are dead and refuses to print. It went from everything is fine to refusing to print between two pages of a print job. Every other printer I've ever had will warn when the cartridges are getting low and keep printing for a while, Not this guy just straight from great to dead.

I see no other reason for this artificial limit with no warning than to increase Epson's profits. I will never be purchasing another Epson product.",No low ink warning. Straight to refuse to print,1521331200,,
1.0,True,"08 1, 2017",A210HGXLXS7341,B00564395I,,Amazon Customer,Bad luck! It's the worst pen I have ever had. I use the pilot ink but the ink doesn't flow well and this pen is hard to write (it will create a feeling that you're using a nicking tool on paper when you draw a circle). A 10 dollar pilot MR is far better than this one.,Nice looking but awful nib,1501545600,,"['https://images-na.ssl-images-amazon.com/images/I/61a2bG7lcLL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BQeIjACpL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61-fxExRC0L._SY88.jpg']"
